uri,kind,size_bytes,dtype,shape,retention,confidentiality,source_system,family,workflow_seat,source_abspath,note
mi/vllm-lens/sparse/capture-20260618-070102/req_00000.safetensors,derived_feature,262480,F32,"[323, 100]",keep_forever,open,local-fs,mi-activation-capture,1-logprob/4-sae,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\sparse\capture-20260618-070102\req_00000.safetensors,"SAE topk sparse code; tensor ""values"" F32 [323, 100] + ""indices"" I32 same shape; __metadata__.record carries prompt/solution/generated_text, d_in=4096, k=100, d_sae=65536, sae_repo=Qwen/SAE-Res-Qwen3-8B-Base-W64K-L0_100"
mi/vllm-lens/sparse/capture-20260618-070102/req_00001.safetensors,derived_feature,232656,F32,"[286, 100]",keep_forever,open,local-fs,mi-activation-capture,1-logprob/4-sae,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\sparse\capture-20260618-070102\req_00001.safetensors,"SAE topk sparse code; tensor ""values"" F32 [286, 100] + ""indices"" I32 same shape; __metadata__.record carries prompt/solution/generated_text, d_in=4096, k=100, d_sae=65536, sae_repo=Qwen/SAE-Res-Qwen3-8B-Base-W64K-L0_100"
mi/vllm-lens/sparse/capture-20260618-070102/req_00002.safetensors,derived_feature,231288,F32,"[285, 100]",keep_forever,open,local-fs,mi-activation-capture,1-logprob/4-sae,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\sparse\capture-20260618-070102\req_00002.safetensors,"SAE topk sparse code; tensor ""values"" F32 [285, 100] + ""indices"" I32 same shape; __metadata__.record carries prompt/solution/generated_text, d_in=4096, k=100, d_sae=65536, sae_repo=Qwen/SAE-Res-Qwen3-8B-Base-W64K-L0_100"
mi/vllm-lens/sparse/capture-20260618-070102/req_00003.safetensors,derived_feature,252504,F32,"[310, 100]",keep_forever,open,local-fs,mi-activation-capture,1-logprob/4-sae,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\sparse\capture-20260618-070102\req_00003.safetensors,"SAE topk sparse code; tensor ""values"" F32 [310, 100] + ""indices"" I32 same shape; __metadata__.record carries prompt/solution/generated_text, d_in=4096, k=100, d_sae=65536, sae_repo=Qwen/SAE-Res-Qwen3-8B-Base-W64K-L0_100"
mi/vllm-lens/sparse/capture-20260618-070102/req_00004.safetensors,derived_feature,243248,F32,"[299, 100]",keep_forever,open,local-fs,mi-activation-capture,1-logprob/4-sae,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\sparse\capture-20260618-070102\req_00004.safetensors,"SAE topk sparse code; tensor ""values"" F32 [299, 100] + ""indices"" I32 same shape; __metadata__.record carries prompt/solution/generated_text, d_in=4096, k=100, d_sae=65536, sae_repo=Qwen/SAE-Res-Qwen3-8B-Base-W64K-L0_100"
mi/vllm-lens/results/capture-20260618-070102_feature_stats.parquet,export,276752,,,keep_forever,open,local-fs,mi-sae-features,4-sae,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\results\capture-20260618-070102_feature_stats.parquet,"11411 rows x 5 cols: feature,n_active,activation_frequency,mean_activation,sum_activation"
mi/vllm-lens/results/intervene-20260618-230415_intervention.parquet,export,5109,,,keep_forever,open,local-fs,mi-intervention,5-patching/6-steering,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\results\intervene-20260618-230415_intervention.parquet,4 rows x 8 cols; DEGENERATE: accuracy 0.0 at both scales
mi/vllm-lens/runs/capture-20260618-070102/config.analyze.yaml,external_record,291,,,keep_forever,open,local-fs,mi-run-provenance,all,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\runs\capture-20260618-070102\config.analyze.yaml,run manifests + config snapshots -> rank-5 external_records + annotates edges
mi/vllm-lens/runs/capture-20260618-070102/config.capture.yaml,external_record,524,,,keep_forever,open,local-fs,mi-run-provenance,all,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\runs\capture-20260618-070102\config.capture.yaml,run manifests + config snapshots -> rank-5 external_records + annotates edges
mi/vllm-lens/runs/capture-20260618-070102/config.encode.yaml,external_record,291,,,keep_forever,open,local-fs,mi-run-provenance,all,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\runs\capture-20260618-070102\config.encode.yaml,run manifests + config snapshots -> rank-5 external_records + annotates edges
mi/vllm-lens/runs/capture-20260618-070102/manifest.json,external_record,1438,,,keep_forever,open,local-fs,mi-run-provenance,all,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\runs\capture-20260618-070102\manifest.json,run manifests + config snapshots -> rank-5 external_records + annotates edges
mi/vllm-lens/runs/intervene-20260618-230415/config.intervene.yaml,external_record,654,,,keep_forever,open,local-fs,mi-run-provenance,all,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\runs\intervene-20260618-230415\config.intervene.yaml,run manifests + config snapshots -> rank-5 external_records + annotates edges
mi/vllm-lens/runs/intervene-20260618-230415/manifest.json,external_record,487,,,keep_forever,open,local-fs,mi-run-provenance,all,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\runs\intervene-20260618-230415\manifest.json,run manifests + config snapshots -> rank-5 external_records + annotates edges
mi/vllm-lens/sae/layer18.sae.pt,sae_release,2147764603,,,pinned,open,local-fs,mi-sae-asset,4-sae,C:\Users\spenc\Cursor Repos\application-vllm-lens\data\sae\layer18.sae.pt,layer18.sae.pt 2.15GB = LOCAL COPY of HF Qwen/SAE-Res-Qwen3-8B-Base-W64K-L0_100; prefer assets row (hf_repo/hf_revision) over bytes
mi/vastai/multi-pass/.gitkeep,external_record,2,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\.gitkeep,run metadata / manifest / summary for the multi-pass divergence run
mi/vastai/multi-pass/MULTI_PASS_SUMMARY.md,external_record,4228,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\MULTI_PASS_SUMMARY.md,run metadata / manifest / summary for the multi-pass divergence run
mi/vastai/multi-pass/README.md,external_record,427,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\README.md,run metadata / manifest / summary for the multi-pass divergence run
mi/vastai/multi-pass/manifest_multi.csv,external_record,1350,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\h200_outputs_multi\manifest_multi.csv,run metadata / manifest / summary for the multi-pass divergence run
